%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
27261000000,0,26890.0,10.1621397207,19.8297847866,-80.0100163224,-126.334433632,-8.78808584187,-9.66764506592,46.32441731
27262000000,0,26891.0,10.0734137766,19.9467836547,-80.1000163411,115.287110923,-51.333757452,-9.87336987809,-195.387127264
27263000000,0,26892.0,9.98458841205,19.8002576068,-80.1900163598,-176.989581175,-0.236863318967,-9.81566919472,96.7995648151
27264000000,0,26893.0,9.89566450362,19.8830739048,-80.2800163786,88.6762351564,-46.9197368292,-9.98740940115,-168.956251535
27265000000,0,26894.0,9.80664292898,19.7599123131,-80.3700163973,-130.682068758,-8.59062075061,-9.95326938412,50.3120523604
27266000000,0,26895.0,9.71752456674,19.8760849276,-80.460016416,114.863414746,-51.8203915758,-10.1585603609,-195.323431162
27267000000,0,26896.0,9.62831029645,19.7362973717,-80.5500164347,-167.192899706,-2.51972913185,-10.1079870752,86.6428832716
27268000000,0,26897.0,9.53900099862,19.8197297726,-80.6400164535,83.3458470154,-46.5641794161,-10.2807287739,-163.985863469
27271000000,0,26898.0,9.44959755471,19.685994473,-80.7300164722,-142.720325725,-7.04653150258,-10.2363969183,61.990309253
27272000000,0,26899.0,9.36010084708,19.7580488265,-80.8200164909,71.343695587,-44.7054112466,-10.3979479794,-152.163712078
27272000000,0,26900.0,9.27051175904,19.6292899502,-80.9100165096,-131.693398833,-9.21610440625,-10.3587781912,50.7833823229
27272000000,0,26901.0,9.18083117478,19.7278881929,-81.0000165284,97.9100945478,-49.6337818441,-10.5470570181,-178.910111076
27273000000,0,26902.0,9.09105997944,19.6157972434,-81.0900165471,-119.029956429,-11.7473606829,-10.524737264,37.939939882
27274000000,0,26903.0,9.00119905899,19.7276765816,-81.1800165658,110.126243105,-52.110465259,-10.7264775226,-191.30625967
27275000000,0,26904.0,8.91124930035,19.6147939892,-81.2700165845,-111.826063286,-13.3481706552,-10.7035446889,30.5560467014
27276000000,0,26905.0,8.82121159128,19.7341690816,-81.3600166033,117.882924062,-53.8211459962,-10.9129574903,-199.242940666
27277000000,0,26906.0,8.73108682041,19.5880859386,-81.450016622,-177.12261843,-2.25101862669,-10.8569991182,95.6726018075
27278000000,0,26907.0,8.64087587723,19.6702521311,-81.5400166407,81.1844741131,-47.6506644666,-11.0293762539,-162.724490754
27279000000,0,26908.0,8.5505796521,19.5322652179,-81.6300166594,-143.599958448,-8.350860102,-10.9816855658,61.9699417886
27280000000,0,26909.0,8.4601990362,19.6059275732,-81.7200166782,73.1996306094,-46.49153559,-11.145728537,-154.919647288
27281000000,0,26910.0,8.36973492155,19.4897354609,-81.8100166969,-119.531927735,-12.8243440779,-11.1200005393,37.7219110381
27282000000,0,26911.0,8.279188201,19.5878409252,-81.9000167156,97.6687342738,-51.0779711582,-11.3086527242,-179.568750989
27283000000,0,26912.0,8.1885597682,19.4842950592,-81.9900167343,-109.309281763,-14.9466628769,-11.295735291,27.3192650289
27284000000,0,26913.0,8.09785051763,19.5932794228,-82.080016753,107.231853283,-53.1044517367,-11.4954289052,-189.311870036
27285000000,0,26914.0,8.00706134453,19.4572150731,-82.1700167718,-166.045383928,-5.34527394835,-11.4501537286,83.8753671558
27286000000,0,26915.0,7.91619314498,19.5298944272,-82.2600167905,77.8453544059,-48.2133813164,-11.6137012823,-160.105371196
27287000000,0,26916.0,7.82524681579,19.3956826195,-82.3500168092,-141.941890005,-9.79347408204,-11.5704358037,59.5918731961
27288000000,0,26917.0,7.73422325458,19.4573479033,-82.4400168279,61.0294290261,-45.5008449696,-11.7231246487,-143.469445854
27289000000,0,26918.0,7.6431233597,19.3417400123,-82.5300168467,-119.363531007,-13.9892739695,-11.6986166526,36.8335141603
27290000000,0,26919.0,7.55194803029,19.4314892849,-82.6200168654,89.1581307656,-50.7146428924,-11.8795412546,-171.778147631
27291000000,0,26920.0,7.46069816619,19.3319585585,-82.7100168841,-105.184744787,-16.7966745225,-11.8712603923,22.4747279025
27292000000,0,26921.0,7.36937466802,19.4368003871,-82.8000169028,103.136109209,-53.5135959612,-12.0674257191,-185.936126112
27293000000,0,26922.0,7.2779784371,19.3398598655,-82.8900169216,-96.4007981519,-18.693874432,-12.0618814284,13.5107812303
27294000000,0,26923.0,7.18651037546,19.4516766209,-82.9800169403,110.357893587,-55.1505730311,-12.2651662454,-193.337910527
27295000000,0,26924.0,7.09497138587,19.3187401236,-83.070016959,-164.51909891,-7.11895313876,-12.2237687378,81.4490819514
27296000000,0,26925.0,7.00336237178,19.3955735093,-83.1600169777,75.7457186818,-49.3627612011,-12.3922111375,-158.90573566
27297000000,0,26926.0,6.91168423732,19.2695777705,-83.2500169965,-130.973700826,-13.2392361822,-12.3578935332,47.7236838294
27298000000,0,26927.0,6.81993788734,19.3358154377,-83.3400170152,65.80482032,-47.8750019815,-12.5158775504,-149.144837335
27299000000,0,26928.0,6.72812422732,19.2345432822,-83.4300170339,-104.892536291,-18.0818989842,-12.5064190549,21.462519257
27300000000,0,26929.0,6.63624416343,19.3245342553,-83.5200170526,89.5859835834,-52.3579296229,-12.6882900919,-173.106000636
27301000000,0,26930.0,6.54429860249,19.2337698179,-83.6100170714,-97.1137165291,-19.7904610199,-12.6894712154,13.5036994578
27302000000,0,26931.0,6.45228845196,19.3332832092,-83.7000170901,97.7809642141,-54.1559722128,-12.8809947572,-181.480981304
27303000000,0,26932.0,6.36021461995,19.2126096826,-83.7900171088,-150.671739831,-10.7585961137,-12.8523950627,66.8817227225
